screen_name,name,id,created_at,followers_count,following_count,tweets_count,favorites_count,
sannabh,Savannah Niles,146874162,Sat May 22 15:28:42 +0000 2010,362,317,4219,1497,
ottolinguini,Joey Otto,26640165,Thu Mar 26 00:26:21 +0000 2009,42,57,2974,19,
jgrayjgray,John Gray,66286182,Mon Aug 17 05:29:06 +0000 2009,112,161,2946,133,
