screen_name,name,id,created_at,followers_count,following_count,tweets_count,favorites_count,
csa_asc,CanadianSpaceAgency,93714983,Mon Nov 30 21:37:50 +0000 2009,94099,720,21361,3086,
asc_csa,Agence spatiale can.,93714345,Mon Nov 30 21:34:37 +0000 2009,3249,247,6287,207,
Astro_Jeremy,Jeremy R. Hansen,351640699,Tue Aug 09 14:55:39 +0000 2011,27095,52,957,3,
Astro_DavidS,David Saint-Jacques,351621695,Tue Aug 09 14:23:44 +0000 2011,15610,8,650,5,
AstroDaveMD,Dave Williams,40683302,Sun May 17 16:07:24 +0000 2009,7787,71,729,13,
Cmdr_Hadfield,Chris Hadfield,186154646,Thu Sep 02 18:21:55 +0000 2010,1098830,67,6490,790,
RobertaBondar,Roberta Bondar,1852479216,Tue Sep 10 21:10:22 +0000 2013,537,31,87,2,
RobertThirsk,Robert Thirsk,833510688,Wed Sep 19 15:00:59 +0000 2012,403,46,13,0,
AstroGarneau,Astro-Marc Garneau,977412476,Thu Nov 29 02:18:09 +0000 2012,66,32,95,34,
