source,target,value
Astro_Jeremy,astro_aggie,0
Astro_Jeremy,AstroIllini,2
Astro_Jeremy,Astro_Kate7,0
Astro_Jeremy,Thom_astro,1
Astro_Jeremy,Astro_Wakata,0
Astro_Jeremy,astro_timpeake,0
Astro_Jeremy,Astro_DavidS,0
Astro_Jeremy,AstroRM,0
Astro_Jeremy,AstroKarenN,2
Astro_DavidS,csa_asc,4
Astro_DavidS,asc_csa,5
Astro_DavidS,spacetihon,0
Astro_DavidS,Cmdr_Hadfield,2
Astro_DavidS,astro_reid,1
Astro_DavidS,Msuraev,0
Astro_DavidS,Astro_DavidS,3
Astro_DavidS,Astro_Jeremy,0
Astro_DavidS,Astro_Andreas,0
Astro_DavidS,Astro_Wheels,0
Astro_DavidS,AstroIllini,2
AstroDaveMD,csa_asc,11
AstroDaveMD,Astro_Clay,7
AstroDaveMD,NASA,2
AstroDaveMD,AstroRM,2
AstroDaveMD,AstroMarshburn,0
AstroDaveMD,ISS_Research,0
AstroDaveMD,asc_csa,0
AstroDaveMD,Astro_DavidS,0
AstroDaveMD,Cmdr_Hadfield,0
AstroDaveMD,RobertThirsk,0
Cmdr_Hadfield,AstroSamantha,1
Cmdr_Hadfield,Astro_Alex,4
Cmdr_Hadfield,astro_reid,2
Cmdr_Hadfield,Astro_DavidS,1
Cmdr_Hadfield,Msuraev,1
Cmdr_Hadfield,Astro_Cady,0
Cmdr_Hadfield,NASA,0
RobertThirsk,asc_csa,2
RobertThirsk,csa_asc,2
AstroGarneau,AstroGarneau,0
spacetihon,OlegMKS,0
spacetihon,Astro_DavidS,1
spacetihon,astro_luca,1
spacetihon,Cmdr_Hadfield,0
spacetihon,Astro_Andreas,3
spacetihon,Astro_Soichi,0
OlegMKS,astro_reid,4
OlegMKS,Astro_Alex,8
OlegMKS,Msuraev,10
OlegMKS,NASA_Astronauts,0
OlegMKS,NASA,1
Msuraev,OlegMKS,3
Msuraev,Astro_Alex,1
Msuraev,astro_reid,1
Msuraev,Msuraev,1
AntonAstrey,AstroTerry,18
AntonAstrey,OlegMKS,10
AntonAstrey,Msuraev,2
AntonAstrey,AstroSamantha,38
AntonAstrey,astro_reid,8
AntonAstrey,Astro_Alex,3
AntonAstrey,Chief_Astronaut,0
AntonAstrey,esa,0
AntonAstrey,StationCDRKelly,2
AntonAstrey,Astro_DavidS,0
AntonAstrey,NASA,0
AntonAstrey,Astro_Wakata,0
AntonAstrey,AstroIllini,0
AntonAstrey,Thom_astro,0
AntonAstrey,Astro_Nicole,0
AntonAstrey,AstroRM,0
NASA,astro_reid,13
NASA,Astro_Alex,6
NASA,ISS_Research,0
NASA,esa,1
NASA_Astronauts,astro_reid,26
NASA_Astronauts,Chief_Astronaut,2
NASA_Astronauts,Astro_Alex,10
NASA_Astronauts,NASA,8
NASA_Astronauts,AstroIllini,2
NASA_Astronauts,esa,0
NASA_Astronauts,Astro_Maker,0
NASA_Astronauts,Astro_Wheels,5
NASA_Astronauts,foreman_mike,0
NASA_Astronauts,Astro_Mike,1
NASA_Astronauts,AstroTerry,3
NASA_Astronauts,StationCDRKelly,0
NASA_Astronauts,Astro_Nicole,3
NASA_Astronauts,Astro_Cady,3
NASA_Astronauts,Astro_Jeremy,0
NASA_Astronauts,OlegMKS,0
NASA_Astronauts,Astro_Satoshi,0
NASAPeople,NASA,8
NASAPeople,Astro_Cady,0
NASAPeople,NASA_SLS,2
NASAPeople,MorpheusLander,3
NASAPeople,Astro_Nicole,0
NASAPeople,AstroRobonaut,0
NASAPeople,Astro_Jeremy,0
NASAPeople,SciAstro,0
NASAPeople,foreman_mike,0
NASAPeople,AstroRM,0
AstroClass2013,Astro_Maker,0
AstroClass2013,Astro_Wheels,0
AstroClass2013,StationCDRKelly,0
AstroClass2013,NASA,2
AstroClass2013,foreman_mike,0
AstroClass2013,AstroClass2013,13
SciAstro,NASA,10
SciAstro,SciAstro,7
Astro_Flow,Astro_Alex,0
Astro_Flow,astro_reid,0
Astro_Flow,NASA_Astronauts,0
Astro_Flow,NASA,0
Astro_Flow,Astro_Clay,0
Astro_Cady,ISS_Research,1
Astro_Cady,NASA_Astronauts,3
Astro_Cady,NASA,2
Astro_Cady,AstroKarenN,0
Astro_Cady,esaoperations,1
Astro_Cady,csa_asc,5
