has,prefers,count
ESA,ESA,102
ESA,JAXA,2
ESA,CSA,6
ESA,Roscosmos,1
ESA,NASA,50
JAXA,ESA,55
JAXA,JAXA,28
JAXA,CSA,4
JAXA,Roscosmos,0
JAXA,NASA,159
CSA,ESA,32
CSA,JAXA,0
CSA,CSA,59
CSA,Roscosmos,6
CSA,NASA,45
Roscosmos,ESA,56
Roscosmos,JAXA,1
Roscosmos,CSA,3
Roscosmos,Roscosmos,30
Roscosmos,NASA,44
NASA,ESA,95
NASA,JAXA,17
NASA,CSA,26
NASA,Roscosmos,4
NASA,NASA,530
