has,prefers,count
ESA,ESA,164
ESA,JAXA,4
ESA,CSA,14
ESA,Roscosmos,2
ESA,NASA,64
JAXA,ESA,63
JAXA,JAXA,37
JAXA,CSA,5
JAXA,Roscosmos,2
JAXA,NASA,176
CSA,ESA,59
CSA,JAXA,1
CSA,CSA,85
CSA,Roscosmos,10
CSA,NASA,95
Roscosmos,ESA,62
Roscosmos,JAXA,2
Roscosmos,CSA,4
Roscosmos,Roscosmos,32
Roscosmos,NASA,46
NASA,ESA,127
NASA,JAXA,37
NASA,CSA,33
NASA,Roscosmos,14
NASA,NASA,738
