has,prefers,count
ESA,ESA,62
ESA,JAXA,2
ESA,CSA,8
ESA,Roscosmos,1
ESA,NASA,14
JAXA,ESA,8
JAXA,JAXA,9
JAXA,CSA,1
JAXA,Roscosmos,2
JAXA,NASA,17
CSA,ESA,27
CSA,JAXA,1
CSA,CSA,26
CSA,Roscosmos,4
CSA,NASA,50
Roscosmos,ESA,6
Roscosmos,JAXA,1
Roscosmos,CSA,1
Roscosmos,Roscosmos,2
Roscosmos,NASA,2
NASA,ESA,32
NASA,JAXA,20
NASA,CSA,7
NASA,Roscosmos,10
NASA,NASA,208
