source,target,value
ESA,JAXA,78
ESA,CSA,117
ESA,Roscosmos,65
ESA,NASA,715
JAXA,ESA,78
JAXA,CSA,54
JAXA,Roscosmos,30
JAXA,NASA,330
CSA,ESA,117
CSA,JAXA,54
CSA,Roscosmos,45
CSA,NASA,495
Roscosmos,ESA,65
Roscosmos,JAXA,30
Roscosmos,CSA,45
Roscosmos,NASA,275
NASA,ESA,715
NASA,JAXA,330
NASA,CSA,495
NASA,Roscosmos,275
