screen_name,name,id,created_at,followers_count,following_count,tweets_count,favorites_count,
Astro_Satoshi,古川聡 Satoshi Furukawa,207878118,Tue Oct 26 06:24:46 +0000 2010,100401,17,3289,0,
Astro_Wakata,Koichi Wakata,1081962504,Sat Jan 12 05:52:56 +0000 2013,117781,172,460,1,
Astro_Soichi,Soichi Noguchi 野口　聡－,85891683,Wed Oct 28 19:28:01 +0000 2009,487557,11,3751,3,
Astro_Kimiya,油井 亀美也　Kimiya.Yui,569247858,Wed May 02 14:54:25 +0000 2012,15404,27,1659,0,
JAXA_en,JAXA Web,104989762,Fri Jan 15 00:57:24 +0000 2010,41045,10,932,0,
