has,prefers,count
ESA,ESA,851
ESA,JAXA,2
ESA,CSA,35
ESA,Roscosmos,10
ESA,NASA,218
JAXA,ESA,43
JAXA,JAXA,51
JAXA,CSA,2
JAXA,Roscosmos,2
JAXA,NASA,82
CSA,ESA,86
CSA,JAXA,0
CSA,CSA,117
CSA,Roscosmos,5
CSA,NASA,276
Roscosmos,ESA,4
Roscosmos,JAXA,0
Roscosmos,CSA,0
Roscosmos,Roscosmos,10
Roscosmos,NASA,7
NASA,ESA,327
NASA,JAXA,6
NASA,CSA,72
NASA,Roscosmos,22
NASA,NASA,1319
