tweet,retweetsCount,favoritesCount
"アーモンドが心臓病の危険性を下げるかも。1日50gのアーモンドを1ヶ月食べた後、血中ビタミンE（強い抗酸化作用あり）が多くなり、血管内皮機能（動脈硬化の進み方に関連）が改善、血圧が低下した、という研究です。http://t.co/Ap0AVWUoGd",92,85
"打上げ！大気中の二酸化炭素観測衛星“@NASA: #OCO2 -our 1st mission dedicated to studying atmospheric CO2 Watch: http://t.co/Sd8GAYmBrf http://t.co/Owt5my3aYX”",83,40
"日本時間18:56打上げ予定“@NASA: #OCO2 countdown on schedule. Weather is still 100% favorable http://t.co/KBQF3qq6SI    http://t.co/TfIKj10qMA”",82,40
"虹と雲、編集なしの写真とのこと“@UnusualFactPage: Non-edited picture taken from a plane above clouds and a rainbow http://t.co/lKK6N8Sr1e”",525,560
"RT @JAXA_jp: [地球観測研究センター（EORC）] GPMが捉えた2014年6月の梅雨前線 http://t.co/yqeIv3RzqX",40,0
"キューバとバハマ諸島“@EarthPix: Cuba And The Bahamas Taken From Space ©NASA http://t.co/mJRvBmaVWi”",69,84
"ミコノス島、ギリシャ“@EarthPix: Mykonos, Greece http://t.co/tUgmVF2x7u”",65,103
"ニュージーランド“@EarthPix: The beauty of New Zealand http://t.co/bIWNSo1j93”",30,58
"アイリス星雲“@ESA_CAVES: Great things that look great:  The Iris Nebula http://t.co/jqDopOBD1J http://t.co/cQwLonoHub”",62,100
"川べりの桜、京都“@EarthPix: Cherry Blossom River, Kyoto, Japan http://t.co/LgnoAkBPqu”",41,74
"京都“@EarthPix: Kyoto, Japan http://t.co/xvrZPBkAiR”",49,79
"南極上空のオーロラ“@OlegMKS: Aurora over the South Pole #ISS #BlueDot more photos in blog http://t.co/fOfdWdHWbz http://t.co/8aasNgnjtA”",110,136
"RT @JAXA_jp: [動画]だいち2号(ALOS-2)による初観測画像 ～富士山、アマゾン～ (2014年6月）  http://t.co/g4NCFiEzG9 ※テロップに訂正があったため差替えをいたしました。どうぞご了承ください。",94,0
"RT @NASA_Astronauts: #ISS crew manages full slate of @ISS_Research and catches up on #USAGER #WorldCup game. http://t.co/EX0w4XbER1  http:/…",69,0
"Could a cocoa extract prevent Alzheimer's? http://t.co/zx4d8S6knW",5,10
"ココアからの抽出物が、アルツハイマー病で見られる脳の損傷を低下させるかもしれない、というマウスでの研究です。http://t.co/zx4d8S6knW",71,62
"チリ“@EarthPix: Chile http://t.co/hbToqWQT9o”",33,74
"スイス“@EarthPix: Emerald Valley, Switzerland http://t.co/IiubVEZmYE”",61,104
"クロアチアのピザ自動販売機。選んだトッピングのピザが焼きたてで出てくるようです“@EarthPix: You pick the toppings and it actually bakes it for u right there! http://t.co/RUwiLVN6eu”",443,154
"RT @FanFunJAXA: くわしい情報をアップしましたよ―！　7月6日は、ちょっと早い夏休みを種子島で満喫してね★　2014年度　種子島宇宙センター施設特別公開 | ファン!ファン!JAXA! http://t.co/tFD3rNQN1h",67,0
"ホッキョクグマの赤ちゃん“@EarthPix: Cutest Baby Polar Bear Ever http://t.co/EIe3unMlWH”",188,191
"キリン“@EarthPix: Giraffes take selfies too! http://t.co/JI1lYoqqrM”",79,84
"RT @amikokauderer: Talked w @Aki_Hoshide re his assignment as #N18 CDR &amp; mission today! #FF @NASA_Johnson 4 #SpaceStationLive air date. htt…",30,0
"RT @Astro_Alex: I took this picture from the Cupola on #ISS - its shadow is in the middle of this  #spacewalk picture http://t.co/1g5aiA9TIO",207,0
"NASA赤外線観測衛星スピッツァーがとらえた飛散連星“@NASAspitzer: @NASA We also take some pretty great shots of runaway stars.... :) http://t.co/bpRppv6Kjt”",106,105
"赤ちゃんフクロウが飛ぶ練習“@EarthPix: Baby Owl Learning To Fly. Photo by Peter Brannon. http://t.co/C0L8HEzxKV”",422,336
"シャボン玉がはじける瞬間“@EarthPix: Popping a Soap Bubble http://t.co/YPea9bqvd2”",395,343
"星出さん、いい笑顔です“@Aki_Hoshide: NEEMO training - like my new shoes? :)  Preping equipment for the mission. http://t.co/GemUeW7vTN”",23,39
"RT @NASA: Tomorrow two Russian cosmonauts take a ~6.5 hour spacewalk. Watch animation of what they'll do: http://t.co/qrOn6sZVJ8 #ISS #Exp40",219,0
"RT @astro_reid: moonlight cruise over the Pacific at 28,000kph https://t.co/7jtcZnNtyc",1192,0
"ブラジル“@EarthPix: Brazil is stunning http://t.co/PUiBMoCJy6”",15,25
"RT @Aki_Hoshide: NEEMO training - @Astro_Sabot using a tablet device wearing special 'shades'. Also for an experiment. http://t.co/SYZwKIiJ…",16,0
"RT @Aki_Hoshide: NEEMO training - @Astro_Sabot practicing his walk - actually for an experiment. No, really. http://t.co/XN5HGgcvWI",9,0
"RT @Aki_Hoshide: NEEMO training - fellow aquanaut @Astro_Jeanette practicing CPR, 'just in case.' http://t.co/dz05f54srT",22,0
"RT @Aki_Hoshide: ISS Expedition 38 &amp; 39 crew answering questions in Houston. Video and answers bring back memories... http://t.co/J8cKuuSydh",18,0
"米国ヒューストンでミッション報告会を行う若田飛行士ら“@astro_aggie: Expedition 38 &amp; 39 crews at Space Center Houston now! http://t.co/2ZVsS5ROH2”",19,28
"Broccoli plant compound detoxifies air pollutants in the body http://t.co/K0R04KAQYl",4,10
"ブロッコリが大気汚染物質に有効？工業地域の排煙影響が強い中国上海近くの地域住民で、ブロッコリ抽出物を含む飲料を飲んだ群は、それ以外の成分は同じフルーツ飲料を飲んだ群より、体内からの発癌物質ベンゼンの排泄が61%多かった、という研究。http://t.co/K0R04KAQYl",76,50
"Caffeine affects males and females differently after puberty http://t.co/v6h8nKco7g",3,3
