tweet,retweetsCount,favoritesCount
"RT @AstroRM: In front of the Japanese modules on today's EVA. Not a selfie. http://t.co/uOYNMGsuSv",843,0
"Stunning view of Maldives atolls earlier today.   Happy Earth Day!! http://t.co/7qZjsmRTIl",504,586
"Looks like Lake Baikal is still waiting for the spring to come. http://t.co/nsjNRdMt70",322,394
"Space-X Dragon spacecraft arrived on the ISS.  Congratulations to the entire team on the successful operation. http://t.co/Io7YeDCUj6",1479,1459
"Flew over UK.  I can see London between the clouds. http://t.co/drtpLyFST9",461,620
"Brisbane, Australia at night. http://t.co/pZn1NKFgvP",272,469
"Night view of Sydney, where we flew over earlier today. http://t.co/P4RC5anzye",527,642
"フォロワーの方の数が10万人を超えました。皆さん有難うございます。 Now I have more than 100,000 followers.  Thank you everyone!",228,349
"Congratulations on the successful launch of Space-X Dragon spacecraft!",79,140
"@Yano_Akiko 矢野さん、いつもISSに向かって手を振って下さりありがとうございます。",33,42
"Flew over Baikonur cosmodrome, Kazakhstan, where we launched on a Soyuz 161 days ago. http://t.co/PV9oycAzEr",170,283
"Baku, Azerbaijan. http://t.co/BKyAtvHFRE",152,243
"Dead Sea.  The blue color of the water looks so beautiful from the ISS. http://t.co/xmPD7nooKf",491,578
"Greetings to Manhattan. http://t.co/cIYsrruOM5",505,691
"気仙沼、陸前高田、大船渡あたりまではっきり見えました。 http://t.co/SZa3SnmgbV",1032,828
"石巻から、東松島、塩釜あたりまでが写っています。 http://t.co/uEoOmgdrfk",767,696
"猪苗代湖です。 http://t.co/EXe3EO2hM8",628,653
"昨日の富士山です。 http://t.co/lDljrK4bvD",1876,1786
"沖永良部島です。以前一度広報活動で訪問させて頂きましたが、本当に美しい島です。 http://t.co/ubXBVUIcDA",359,490
"石垣島です。 http://t.co/UvCbpaKw5U",656,789
"Amazing view of the snow covered volcanoes on Kamchatka Peninsula. http://t.co/Vq32kpsXQo",459,595
"ISSから撮影した久米島です。 http://t.co/LxlJSXhq6e",394,515
"十和田湖です。 http://t.co/qANRC9pHIq",372,452
"ISSから撮影した宮古島、伊良部島です。 http://t.co/LaQPrURSuy",755,805
"The Bahamas – I never get bored of seeing this beautiful view. http://t.co/yWJzbZAqap",1808,2290
"Aorounga Impact Crater in Chad.  345 million years old impact crater marked with linear ridges from wind erosion. http://t.co/bgmw6Ag8fW",408,478
"Flew over Houston yesterday evening.  The weather looked nice with no clouds. http://t.co/L4Q6kCDKtd",209,296
"昨日の日本列島の写真です。ISSの中では季節感がありませんが、満開の桜が咲いている光景が目に浮かびます。 http://t.co/0tPnix2Wjq",2091,1954
"Enjoyed working on the ham video commissioning activity in Columbus. http://t.co/Pxh0uEyarK",91,142
"ISSから見た札幌の夜景です。5時間ほど前に上空を通過しました。 http://t.co/6OUqy3DzlP",2440,2171
"Happy Cosmonautics Day!  C Днём  Космонaвтики!",211,183
"Flying over Bangkok, Thailand. http://t.co/OJ0v0ydPgf",171,247
"４月１０日の交信イベントで、安倍首相をはじめ皆様と国際宇宙ステーションか らお話しできることを楽しみにしています。",200,148
"Night view of Brussels and Antwerp, Belgium from the ISS. http://t.co/DqATUOHcMC",491,589
"運動効率のよい小型のハイブリッドトレーニング装置を上腕に装着して筋力トレーニングを行い、装置の操作性と効果を確かめる実験に参加しています。ハイブリッドトレーニングは有人宇宙活動だけでなく、高齢化社会や医療への貢献が期待されています。 http://t.co/KAdR0HV27v",295,325
"We are enjoying the great view of the Patagonian glaciers over the last several days. http://t.co/cPCsV2mass",640,729
"Clear view of Punta Arenas and Strait of Magellan, Chile. http://t.co/T73bOnl5Mv",305,389
"今日から数日間、天気が良ければ夕方から夜にISSが見られます。各地の時間帯はこちらで確認して下さい。http://t.co/yoahnqqHPb",1345,652
"江口さん、滝川さん、4/3(木)午後7:58からの番組でお話しできることを楽しみ にしています。日本の皆さん、日本上空を通過するISSからの宇宙生交信でお会 いしましょう。http://t.co/cfP3sOi9cf",279,154
"The lights from the palm tree islands of Dubai, UAE looked so vivid. http://t.co/s7sLr7pzlu",660,669
"Abu Dhabi, United Arab Emirates.  The city light looks very bright through the clear air. http://t.co/BU2OFAGyV1",372,429
"新たな米露3人の宇宙飛行士がISSに到着して6人クルーになり、軌道上がまた賑やかになりました。これからも和の心を大切にして6人で力を合わせて頑張って行きたいと思います。",401,432
"Our new crewmates arrived on the ISS.  Welcome aboard  Alexander, Oleg, and Steve! http://t.co/XCFeityMXd",638,775
"Flying over Grand Canyon (center low in the photo).   Spectacular view! http://t.co/dTnqVT0Jqx",592,669
"関東から西側の太平洋岸は雲がほとんど掛かっていませんでした。富士山もハッキリ見えます。 http://t.co/wLNlwfzXNO",1592,1392
"青森県八戸市から岩手県久慈市あたりまでがくっきり見えました。空気がとても澄んでいるのがよく分かります。 http://t.co/X1bIjobKN8",1023,772
"昨日の日本の写真です。北海道と東北地方の北部が写っています。Northern Japan. http://t.co/KZnha3noYi",926,796
"Flying over Sofia, Bulgaria. http://t.co/IQl5Q2rtGm",136,227
"Clear skies over the US East Coast. http://t.co/6JKcW6prUa",565,643
"Flew over New York City earlier today.  Nice view! http://t.co/RMvAjWSABI",422,508
"Clear view of Montreal, Canada.  Reminds me of our great training trips to the  Canadian Space Agency in St. Hubert. http://t.co/WCrDp57hYq",343,416
"Flying over Seattle, WA.  SEA-TAC is a big airport. http://t.co/CYBKu4uA31",314,384
"Thank you for watching Nat Geo Channel #LiveFromSpace.  Did you enjoy the program?  Exp 39 crew had fun participating in the live show.",143,311
"Oleg, Sergey, and Mike departed the ISS on Soyuz.  Have a  safe return! http://t.co/8R01Cm922n",648,725
"小川洋　福岡県知事から国際宇宙ステーション船長就任のお祝辞を戴き、感謝致します。福岡県青少年アンビシャス運動の益々のご発展を軌道上から応援しています。",120,103
"下村文部科学大臣、山本宇宙政策担当大臣から国際宇宙ステーション(ISS)船長就任のお祝辞を戴き、感謝いたします。軌道上および世界各国の地上管制局のチームの仲間と連携し、運用の安全を維持しつつISS利用成果を最大限に引き出せるよう尽力したいと思います。",323,248
"安倍総理から国際宇宙ステーション（ISS)船長就任のお祝辞を戴き、有難うございました。世界15か国が参加するISSの運用のなかで、「和の心」を大切にして、調和の中からベストな結果を生み出す、世界における日本らしさをもって船長任務にあたりたいと思います。",838,648
"昨日の朝、日本付近の太平洋上空を通過した際に撮影した富士山です。 http://t.co/GgDGB53MVq",3677,3292
"久しぶりに雲から頭を出している富士山が軌道上から良く見えました。 http://t.co/tbQDYEcnF7",1959,1692
"Nice pass over Abu Dhabi and Dubai, UAE. http://t.co/4RF9Zvhxuu",332,355
"Munich, Germany.  Seems to be a warm winter for Munich. http://t.co/zHolYnjmAt",149,203
"羽村市の武蔵野小学校の皆さん、ISSアマチュア無線スクールコンタクトでお話できて嬉しかったです。素晴らしい質問を有難うございました。",69,58
"Strait of Gibraltar. http://t.co/AQVarWmEK8",286,323
"Nice view of Grand Canyon in the US. http://t.co/KpXCiqXoGA",521,560
"The launch of GPM core observatory from Tanegashima has been set at 3:07 am on Feb.28(JST). Go GPM! http://t.co/wEx5CrGgEt",82,65
"「雨雲を、味方にせよ！」NASA/JAXAコラボによる全球降水観測計画主衛星（GPM主衛星）の打上げ日時が決定しましたね。ISSからも打上げ成功を祈っていま す。http://t.co/AMWKNW0jtJ",185,126
"昨晩の日本列島の夜景です。太平洋側から撮影しました。四国から北海道まで写っています。 http://t.co/cOpJZFll4U",5159,4368
"大阪の夜景。眩しいばかりの街の明かりが印象的です。 http://t.co/bMPPqZXtFx",1483,1351
"北九州と下関の夜景です。関門橋も見えますよ。 http://t.co/bt44K0Ai9q",972,946
"昨晩の福岡の夜景です。天神・中州と博多駅あたりは一際明るいですね。宇宙にいても博多ラーメンが恋しいです。 http://t.co/rNN5ejq3UZ",2322,1867
"Another photo of aurora at south of Australia.  A huge wall of light. http://t.co/3NHYnWL4C9",715,919
