tweet,retweetsCount,favoritesCount
"Sunset. http://t.co/K0dlDPNs1N",1,5
"RT @Sochi2014: #Sochi2014 Bear is inconsolable after Russia's loss to Finland in the #IceHockey... :-( http://t.co/8nOAw3Cqdr",4482,0
"@Astro_Andreas @Thom_astro  study, study and study ;)",0,3
"This is may be the most beautiful stadium in #Sochi2014! #Laura biathlon &amp; cross country ski stadium http://t.co/5eIV3wc2GJ",0,1
"RT @LiNa8294: @spacetihon Wow, Yeah! ;-D http://t.co/HeDc1qVfhE",1,0
"Good day today. We are going to country ski sprint team race! #Sochi2014 http://t.co/L14ZdGXH9D",0,2
"@LiNa8294 see you on stadium ;)",0,2
"@lavr_inc это да...",0,0
"@LiNa8294 No. This is biathlon stadium.",0,0
"RT @Sochi2014: The old rivals meet again right at the finish line @martinfkde and @SuperSvendsen #biathlon at its best at #sochi2014 http:/…",247,0
"@Jordan_D juice, tea, coffee and water of course :)",0,1
"Today biathlon! Snow but luckily no fog :) http://t.co/sTij2fiiTc",1,2
"@outtamainstream Yes. In 1985. But I don't know who :)",0,0
"Coca Cola museum :) special Coca-Cola cup for space. http://t.co/6qPgC47Uh6",12,10
"Night in the Olympic park. http://t.co/wAOnzLLBFI",1,6
"@LiNa8294 Yesterday was a long day ;)",0,0
"It is raining today. http://t.co/U2dpswpPNw",2,3
"RT @Sochi2014: GOLD for Russia!!! The new Two-Man Olympic Bobsled Champions. Congratulations to Zubkov and Voevoda! #Sochi2014 http://t.co/…",298,0
"Вчера. Облака наступают. Yesterday. Clouds come. http://t.co/HdWWAmVIbb",0,2
"Cloudy day today. For many events schedule was changed. http://t.co/PqS1uNt1Xs",0,2
"@minlarrycornel this fan will wiz a goal :)",0,0
"RT @fratria: Сейчас наколдует гол http://t.co/HQkuKTOLmz",17,0
"@LiNa8294 We have very busy day tomorrow ;)",0,0
"@YNieba Exactly ;)",0,0
"@LiNa8294 It is cloud.",0,0
"Walk through the clouds! Excited! http://t.co/8dKxVNlPct",1,2
"And happy Sweden fans (who wins gold). http://t.co/8LEneVFQGQ",0,1
"Russian ski team. Flower ceremony. http://t.co/So30Xmud3n",1,3
"Серебро!!!!",0,0
"Ski relay today! Believe, hope and wait! Сегодня лыжная эстафета! Верим, надеемся и ждём! http://t.co/WZFseyGKAv",1,2
"Skeleton Russia 1-st !!!!!! Full of emotions! http://t.co/NHjzdGzTn9",0,3
"We are waiting for Skeleton racing! http://t.co/T0xpA0qbqs",0,4
"Austria #TirolHouse in #Sochi2014 http://t.co/G4QGumME2a",1,6
"@I_We_Gaia No! It looks like spring!",0,1
"One more sunny day in Sochi! http://t.co/8gJHtym6d5",6,10
"Today Alexander Serebrov would have turned 70.",0,1
"Сегодня 70 лет исполнилось бы Александру Сереброву. Земля Вам пухом Сан Саныч! Мы Помним!",2,1
"RT @Sochi2014: Gold medal in the men’s free skate goes to Yuzuru Hanyu (JPN), silver- Patrick Chan (CAN) &amp; bronze- Denis Ten (KAZ)! http://…",1532,0
"RT @guardian: The agony and the ecstasy of #Sochi2014 in pictures: http://t.co/MP0iBXpll8 http://t.co/vvxKMJSu3T",207,0
"@pozdeevvo да. Это на красной поляне. Сегодня Сочи встречает нас просто чудесной погодой.",0,0
"@ShuttleAlmanac in Sochi!",1,3
"@ESA_CAVES and more sea and caves for full of happiness!",0,0
"+15 °С, sun, sky and mountains! http://t.co/ALSyRmWhT4",4,5
"Welcome to Sochi!!! http://t.co/z5lRkikx34",1,9
"@YNieba Thank you! I'm sure it will be great show. Unfortunately we don't have tickets for this event.",0,1
"Едем в Сочи!!! Go to Sochi! #Sochi2014 #Olympic_train http://t.co/60Aum9Z96O",3,2
"RT @ESA_CAVES: x-mas dinner in prison? Better: #Apollo 8 - Astronauts relax aboard the U.S.S. Yorktown following their recovery http://t.co…",9,0
"Today I talked to Sergey! It always pleasure to see your friends in space! http://t.co/ial5euXWuH",0,7
"@ESA_CAVES thank you! It was my favorite class during the CAVES training!",1,3
"@ISS101 Doctors are arrived!!! :)",1,2
"Congratulation! Successful launch of #ISS-37. Watching launch in office of Russian support group. http://t.co/6mfCCdVziK",1,4
"@ESA_CAVES is it close to 'angel wing' ? ;)",0,0
"@ESA_CAVES ??? Where is it? New base camp?",0,0
"@ESA_CAVES it was our favorite question last year :)",0,1
"@ESA_CAVES Karst! What is Karst? :)",0,1
"@ESA_CAVES Hello to everybody! Wish you great training!",0,1
"@ESA_CAVES for what do you need board with nails? May be we don't know something ;)",1,3
"@Astro_Soichi may be they are residents of Atlantis?",1,2
"@Astro_Andreas Good luck guys! Wish you successful training! And waiting for underwater video in 'Sirio' style ;)",0,2
"100 days on orbit! New technologies let us to connect with #ISS online:) http://t.co/aMQ2QTPWZG",3,4
"@Astro_Andreas @ESA_CAVES Almost Impossible :))",0,1
"My working place in MCC-H. Training is in progress. http://t.co/2sVqDB1rYY",0,2
"RT @Astro_DavidS: Cosmonauts proudly waving the Russian flag outside ISS! http://t.co/oTTFcwDN6Y",34,0
"One more flight. Vaiting in Atlanta http://t.co/UyJmZEdXyc",0,1
"@spasmunkey no. It's my first long trip to Houston:-) I visited Houston 2 years ago.",0,0
"@dimanja1984 спасибо",0,0
"@space_artyom нет. В региональную группу управления в качестве главного оператора.",0,0
"Looking forward to loooong day. Moscow - Paris - Atlanta - Houston. http://t.co/to9Ki1usiN",0,3
"@ShuttleAlmanac @therealdjflux No. This is the chamber in IMBP (institute of medical and biological problems).",0,0
"@dimanja1984 да - это барокамера в ИМБП (институт медико биологических проблемм)",0,0
"@PC0101 Not yet:-) I'm looking forvard to trip to Houston next week, as a member of support team in mission control.",0,1
"@PC0101 YES! I've just finished my medical test inside",0,1
"Прохожу мед тесты после болезни. ТБК 63 - 50 лет безупречной службы http://t.co/UUY4HanJ00",1,0
"50 years old pressure chamber. http://t.co/04SvoRkpYX",4,2
