tweet,retweetsCount,favoritesCount
"Дуррат-Аль-Бахрейн #МКС см. в блоге (Durrat Al Bahrain #ISS HQ in blog) #BlueDot http://t.co/GYzsxdiEC5 http://t.co/wodNdT6JfN",59,61
"RT @I_We_Gaia: ICYMI: [VIDEO] #ISS commander Steve Swanson, @astro_reid &amp; @Astro_Alex talked with the media about life in space https://t.c…",2,0
"#Триполи - Северный #Ливан #МКС см. блог  (#Tripoli - Northern #Lebanon #ISS HQ blog) http://t.co/mEk6o0Kyqo http://t.co/FfplT0CDvb",19,29
"все фотографии теперь можно увидеть и на моей старнице в инстаграм (all my photos you now see in instagram) - http://t.co/IL5PEm8LYU",6,14
"Города России - Преображение, Приморский край #МКС см. блог http://t.co/06lZTGcYCY http://t.co/MbXQPyIaBL",14,12
"Cities in Russia - Preobrazheniye, Primorsky Krai #ISS HQ in blog #BlueDot  http://t.co/06lZTGcYCY http://t.co/wASeXsDY1O",15,32
"#Циклон над Алеутами #МКС см. блог (#Cyclone over #Aleutian Islands #ISS HQ in blog) #BlueDot http://t.co/Q0aPGrJlvt http://t.co/IhyA6jzPYi",26,38
"Наконец-то над Камчаткой нет облаков #МКС см. блог (#Kamchatka #ISS HQ in blog) #BlueDot http://t.co/NnYRr8DTHj http://t.co/wVM6gSsOsr",25,39
"Босфор и Стамбул #МКС ещё в блоге (Bosphorus &amp; Istanbul  #ISS more in blog) #BlueDot http://t.co/rN7D4WASMA http://t.co/r5C72Br7Md",26,35
"Луна на орбите #МКС см. в блоге (The Moon #ISS HQ in blog) #BlueDot #Moon http://t.co/QqD22r0hON http://t.co/G5ZdfmD1zU",73,94
"ещё несколько снимков глаза Супер #Тайфуна #Ногури.  http://t.co/sLBuDmOCAK http://t.co/674K40uX9i",23,28
"some more photos the eye of Super #Typhoon #Neoguri. more in blog #BlueDot http://t.co/sLBuDmOCAK http://t.co/SmLoT8RYPX",49,40
"Тренировка спуска на Землю #МКС подр. в блоге (Landing Training #ISS detail in blog) http://t.co/PhHL7ltExt http://t.co/0vFtFwsj8t",22,30
"#Тайфун #Ногури вчера дошёл до Японии. #МКС ещё фото в блоге http://t.co/sLBuDmOCAK http://t.co/WOjnXwCcZB",32,23
"Powerful #Typhoon #Neoguri pounded Japan’s Okinawa islands on Tuesday #ISS more blog #BlueDot http://t.co/sLBuDmOCAK http://t.co/sXWHAG9WPv",43,40
"#Египет. #Пирамиды #МКС см. в блоге (Egyptian #Pyramids #ISS HQ in blog) #BlueDot http://t.co/bE19QwSLfO http://t.co/JtnO7RxMsp",111,97
"Золотой месяц в Персидском Заливе недалеко от Дубая #МКС см. в блоге #BlueDot http://t.co/MIu1xS2Gyi http://t.co/Z9Qytwcdt7",27,29
"Golden Moon in the Persian Gulf near Dubai #ISS HQ in blog #BlueDot http://t.co/MIu1xS2Gyi http://t.co/T2fRpSvAZq",44,48
"#Вулкан #Этна. #Сицилия #МКС подр. в блоге (#Etna #Volcano #ISS det/ in blog) #BlueDot http://t.co/b7yLDdurIh http://t.co/8OUk6gKdTz",43,53
"Города #России - #Петропавловск-Камчатский #МКС ещё в блоге #BlueDot http://t.co/bpcE0ixzmK http://t.co/lX95hxv92d",20,20
"Cities in #Russia - #Petropavlovsk-Kamchatsky #ISS more in blog #BlueDot http://t.co/bpcE0ixzmK http://t.co/FQkvlMe4c6",33,37
"RT @Space_Lectures: Planet Earth AS Seen From The #ISS http://t.co/DY58gWD60V So Beautiful @Astro_Alex @OlegMKS @astro_reid Thank You :-)",15,0
"all my photos you now see in instagram - http://t.co/IL5PEm8LYU",10,16
"все фотографии теперь можно увидеть и в моём инстаграм - http://t.co/IL5PEm8LYU",2,6
"Пролетая над Вьетнамом #МКС см. в блоге (Over Vietnam #ISS HQ in blog) #BlueDot http://t.co/tpYinEaWrg http://t.co/aK829ETKJF",32,39
"Краски Земли — Буровые платформы на северном Каспии #МКС см блог #BlueDot http://t.co/zRJfmKJtri http://t.co/Elme5sn34M",11,8
"#Earth Paints - Drilling platforms on the northern #Caspian Sea #BlueDot http://t.co/zRJfmKJtri http://t.co/m4Vhn3wIyw",31,35
"RT @Msuraev: Всем доброе, дорогие друзья! Долго не писал. Было много работы. Вот кое-что из этого #SurMax  http://t.co/DEQRRp5h5m с помощью…",45,0
"Луна. Вид с МКС #МКС см. блог (The Moon. ISS #ISS HQ in blog) #Moon http://t.co/fv0jAQ8Ezc http://t.co/d1MdnRsK3x",53,55
"toutes mes photos dans instagramm - instagramm 内のすべての私の写真 - 我所有的照片在 instagramm - http://t.co/IL5PEm8LYU",7,7
"Todas mis fotos en инстаграмм - tutte le mie fotos in instagramm - alle meine Fotos in instagramm - http://t.co/IL5PEm8LYU",4,13
"you can see now all my photos in an Instagram - http://t.co/IL5PEm8LYU",50,55
"все мои фото теперь можно увидеть в инстаграмм - http://t.co/IL5PEm8LYU",11,13
"RT @Astro_Alex: Dinner on #ISS is always a fun time with @astro_reid &amp; Swanny http://t.co/f7UEWsSSWM",104,0
"Полярн. сияние и звёздное небо #МКС см. блог (Aurora on the Starry Sky #ISS HQ blog) #BlueDot http://t.co/gRZuq7T3By http://t.co/rzB8jTaflo",62,74
"Острова Силли Великобритания #МКС блог (Isles of Scilly Great Britain #ISS HQ blog) #BlueDot http://t.co/Penk9wZg89 http://t.co/1sTkmHupCK",73,92
"Над центром Африки #МКС см. блог (In the Center of Africa #ISS HQ blog) #BlueDot http://t.co/lyZSmK1yeE http://t.co/GKZKwaM0Mx",53,79
"3 июля был День ГИБДД на #МКС подр. см блог (July 3 - #Russia GIBDD Day on #ISS more in blog) http://t.co/fp3fxzaG1H http://t.co/QqdOOXdZVn",21,25
"Звёздное небо на МКС #МКС см блог (Starry Sky on the ISS #ISS HQ in blog) http://t.co/S9ejHoEuyR http://t.co/v3sNO467OL",37,48
"Каждый день мы видим около полутора десятка рассветов и закатов. очередной рассвет на #МКС http://t.co/Dkj2pz4aMu http://t.co/EVo2JuxOui",33,32
"Every day we see about fifteen sunrises and sunsets – one more Sunrise on #ISS #BlueDot http://t.co/Dkj2pz4aMu http://t.co/7ujnRO7Tzy",119,125
"Города России Таганрог #МКС ещё в блоге (Cities in Russia - Taganrog #ISS more blog) #BlueDot http://t.co/D6Qvp8aGFQ http://t.co/iFWLzKMV46",19,27
"Облака над Землёй никогда не кончаются. #МКС см блог (Clouds #ISS HQ in blog) #BlueDot http://t.co/hG93k09vpZ http://t.co/dbcVbo84hR",87,96
"Камчатка #МКС см блог (Kamchatka Peninsula #ISS HQ in blog) #BlueDot http://t.co/8qMRhwG3tz http://t.co/Ba6o5lYNhm",26,39
"Над Босфором и Дарданеллами #МКС см блог (Bosporus and Dardanelles #ISS HQ in blog) #BlueDot http://t.co/Cj5yZub87E http://t.co/0HTmVjFjeA",42,53
"Города России - Барнаул. Алтайский край #МКС см блог http://t.co/88l0P56O7Y http://t.co/3ytRI7qqji",15,16
"Cities in Russia - Barnaul. Altay Kray #ISS #BlueDot HQ blog http://t.co/88l0P56O7Y http://t.co/NyOOsoPinm",10,25
