tweet,retweetsCount,favoritesCount
"Скоро сеанс прямой связи с Россией) Первое пленарное заседание Общественной палаты РФ  нового созыва. Меня туда делегировала ОПМО #SurMax",15,11
"Для тех, кто еще на выходных.. Одно из самых любимых мест отдыха наших туристов о.Кипр. Вот бы сейчас туда) Шутка http://t.co/QDI8bxk6Ru",111,97
"Тем временем настал момент ужина: http://t.co/QeqSqtHq1c с помощью @YouTube  по просьбе коллег с хештегом #SurMax",90,51
"RT @Astro_Alex: New horizons #BlueDot #blog http://t.co/1Z0TArwUtk http://t.co/FO42Xo9ZGA",167,0
"Все знают мультфильм Мадагаскар, а вот так выглядит остров Мадагаскар из космоса.На что еще вам  хотелось взглянуть? http://t.co/LKyprXsG5Z",226,125
"Гордимся ) http://t.co/esKLtkdiEq",85,45
"Всех поздравляю с праздником! Я люблю свою страну! Я её обажаю!!!!!!! http://t.co/6XtzxGROkl",49,43
"Пока вы отмечаете День России, мы вовсю готовимся  к выходу в открытый космос http://t.co/39ycBEsyEV с помощью @YouTube",71,32
"С днем России!!! Чтобы слава величала, а мощь росла!",113,21
"Не перестаю восхищаться как прекрасна наша планета Земля http://t.co/7cM5dY7xzx с помощью @YouTube",123,72
"Продолжая о погоде,Не знаю,что у вас за окном сейчас.А у нас небольшой ураган в тихом океане скрутил облака в спираль http://t.co/kI9LRBmtjN",238,132
"Так сверху выглядит фронт после прихода которого портится погода. Говорят, на Земле это сегодня актуально ) http://t.co/yJ1M1ASg4F",193,99
"Отстыкованный от МКС  'Прогресс М-21М' сведён с орбиты и закончил своё существование. Как это было http://t.co/NIE7DOUFdB с помощью @YouTube",46,40
"ПРОГРЕСС или куда девается космический  мусор  http://t.co/NcY5PTij5w с помощью @YouTube",66,41
"Видео: Очень сложно в невесомости правильно оттолкнуться http://t.co/XyKehoba0N с помощью @YouTube",89,59
"У ребят скоро выход о открытый космос. Подготовка к этому событию идет полным ходом. http://t.co/XKpJarpS4x",116,63
"Очень сложно в невесомости правильно оттолкнуться чтобы прилететь в заданное место и не сбить что-нибудь по дороге.",49,31
"Проба объектива http://t.co/6AsLm6humX",252,200
"RT @astro_reid: Finally! #SoyuzTMA13M selfie @astro_alex @msuraev http://t.co/mI8YkfcoWc",429,0
"селфи в космосе with  @OlegMKS http://t.co/GM3HGMLdgH",119,77
"Первый день. Открытие люка http://t.co/1AU8hcBc4C",75,51
"Старт ракеты: http://t.co/6skAQxDggE с помощью @YouTube",25,28
"проба как это работает с МКС",209,64
"Ну вот и день старта. Принял душ, обтёрся спиртом. Следующая возможность принять полноценный душ будет в ноябре. Старт будет в 23:57:41.",127,44
"@Msuraev @astro_reid @Astro_Alex это наше селфи с друзьями на пресс-конференции. http://t.co/ZWS2HGiIhd",225,226
"Гос. комиссия утвердила нас как основной экипаж. http://t.co/8ZMz2uvOKo",23,22
"@astro_reid and @Msuraev у нас крайние тренировки к невесомости. Остался день до старта. http://t.co/bJl3TmACel",16,18
"Это наше селфи на фоне одного двигателя 3-ей ступени. Через 4 дня она понесёт нас в космос. http://t.co/DP7E5KwnIs",107,128
"Вчера была посадка деревьев. Это очень хорошая традиция на Байконуре. http://t.co/kARGmV0IKO",58,43
"Пробежка на Байконуре для поддержания формы. 8 дней до старта. http://t.co/pBJbqMrBIk",15,18
"А это ребята которые помогают и сняли клип. Настоящие профи. http://t.co/it1wXAOwx1",12,11
"Есть проект который хотелось бы сделать в полёте, но только после одобрения начальства. Вот посмотрите http://t.co/yCfuownG6J",37,17
"Полностью готов к полёту в космос. http://t.co/h0Zk7LsVYF",28,35
"А это наша официальная эмблема. Смотри твит раньше. http://t.co/bYj5GSNBQY",66,50
"Это мы на Байконуре. http://t.co/Lg4ZWqz2iQ",53,52
"Дорогие друзья. Я на Байконуре. Скоро полёт в космос. Начинаю Твиттер. Буду держать вас в курсе.",247,72
"RT @Astro_Alex: 4.5 years ago I started astronaut training, today I finished it. #awesome @astro_reid @Msuraev #BlueDot",33,0
"RT @amicableru: С нами в эфире с @VorobievAndrey @Mosobl_TV наши друзья и соратники @nzlobin @Gorgadze_Shota @Msuraev @m_azarenkova http://…",14,0
"RT @olenka121: Воробьев набирает под 80% на выборах губернатора Подмосковья http://t.co/uvvDLKs5WN",3,0
"RT @amicableru: За честь работать с этим Человеком! #Воробьев http://t.co/0lV5OTdHyy",8,0
"Друзья, спасибо всем за вашу работу! Ждем официальных результатов!!",7,0
"RT @e_vysotskaya: Экзит от ВЦИОМа (на 16:00):Воробьёв - 72,5%, Черемисов - 9,9%, Гудков - 7,8%, Шингаркин - 3,1%, Корнеева - 3,0%, Романови…",9,0
"RT @IRodnina: @VorobievAndrey Искренние поздравление с убедительной победой и проделанной работой-люди поверили!Сил,здоровья,мудрости,мужес…",8,0
"RT @Mosobl_TV: Exit-Poll ВЦИОМ на 16:00: Черемисов — 9,9%, Гудков — 7,8%, Шингаркин — 3,1%, Корнеева — 3,0%, Романович — 2,1%.",8,0
"RT @er_mosobl: Жалоб из регионов на ход выборов в ЦИК РФ не поступало - http://t.co/qfVb8btnfx",1,0
"RT @EvgenyArsentyev: Единый день выборов в России завершается http://t.co/DenjABa7ho",1,0
"Космонавты, дважды Герои СССР и РФ Сергей Крикалев и Алексей Леонов. Объехали много участков, все было спокойно. http://t.co/KeZy8UCzux",10,8
"Пианист Александр Гиндин рассказывает о своей работе гражданского наблюдателя на #выборыМО http://t.co/VzplAiFhno",2,0
"RT @iskrastal1: Электросталь. Судьбоносный день для Подмосковья. Комментарий депутата Госдумы Юрия Липатова. http://t.co/YdoARkVOca",4,0
"RT @Mosobl_TV: Евгений Князев, ректор театр. института им.Щукина: 'Я рад, что в #Подмосковье проходят выборы. Меня огорчает явка, ожидал, ч…",7,0
"RT @e_vysotskaya: Князев: радуюсь, что проходят #ВыборыМО, что люди с большим воодушевлением хотят выбрать себе руководителя (ТК Подмосковь…",2,0
"RT @amicableru: “@Msuraev: Общ. наблюдатель Евгений Князев в эфире телеканала 'Подмосковье'. Ходом голосования доволен. #выборыМО http://t.…",7,0
"RT @Mosobl_TV: Геннадий Богачёв, руководитель пресс-службы ГУВД Московской области: выборы в #Подмосковье проходят в штатном режиме.",5,0
"RT @filipppaleev: г. Шатура на кождом ИУ не менее 5 наблюдателей. Много впервые голосующих, получали кепки, грамоты, конституцию! http://t.…",3,0
"RT @dvpestov: Эксперты-политологи: Московская область лидирует по уровню электорального доверия. http://t.co/fGqLc20mtp",6,0
"RT @e_vysotskaya: желание и задача провести #ВыборыМО чисто сплотили многих. Осталось 2 ч до закрытия участков, но уже сейчас можно говорит…",2,0
"Евгений Князев в эфире телеканала 'Подмосковье'. Ходом голосования доволен. #выборыМО http://t.co/LZkFiEE48r",3,1
"RT @belkai2010: #ВыборыМО Доверенное лицо #Воробьев'а Антон Цетков побывал на избирательных участках Можайского района.По его мнению процес…",6,0
"Сообщают, что в Звездном - явка 31%!",4,0
"Сергей Безруков на телеканале Подмосковье. #выборыМО http://t.co/Q9gY6VVV3n",1,0
"Егор Кончаловский рассказывает о дне в качестве наблюдателя на #выборыМО http://t.co/Q3Au4Q0yaV",4,1
"RT @amicableru: Общечивенный наблюдатель на #ВыборыМО  Егор Кончаловский на @Mosobl_TV  #ДеньВыборов http://t.co/aaIcsK4NS4",8,0
"RT @e_vysotskaya: В Звездном более 5 тыс избирателей, из них на #ВыборыМО многие голосуют впервые. Для них приготовили бейсболки, конституц…",2,0
"RT @praskovvia: Егор Кончаловский стал наблюдателем на выборах в Звенигороде #выборыМО http://t.co/SaZ1FsxBgX",8,0
"RT @e_vysotskaya: Неутомимая Валентина Кабанова добралась до Коломны. Несмотря на то, что везде спокойно, доверенные лица не хотят расслабл…",5,0
"RT @e_vysotskaya: Думала, что в Видном самые активные избиратели, но ИКМО сообщает, что самая высокая явка в Серебряных Прудах - 24% #Выбор…",1,0
"RT @e_vysotskaya: #ВыборыМО Зернов из пресс-центра ИКМО: В Долгопрудном оч. хотелось увидеть нарушения, но их не было...",3,0
"RT @Mosobl_TV: Владимир Зернов, ректор Российского нового университета о выборах в #Подмосковье: 'Бросается в глаза позитивный настрой, кот…",8,0
"Валентина Кабанова приехала в Коломну. Продолжает осмотр участков. Сообщает о полном соблюдении закона. #выборыМО",3,0
"RT @e_vysotskaya: Режиссер Егор Кончаловский посетил несколько участков в Звенигороде на #ВыборыМО http://t.co/rx6LpmZUrC",4,0
"RT @Mosobl_TV: В Звездном городке избирательные участки разместили в Доме космонавтов. http://t.co/MKIoVRmSwC #ВыборыМО",1,0
"RT @e_vysotskaya: Ближе к полудню жители городка активно потянулись на избирательные участки Звёздного, чтобы сделать свой выбор на #Выборы…",2,0
"Только что из Дуброво. Голосование идет хорошим ходом - военный городок голосует дисциплинированно и дружно. Высокая явка. #выборыМО",3,0
"RT @Mosobl_TV: В #Дубне на одном из избирательных участков можно не только проголосовать, но и померить давление и узнать свой уровень саха…",6,0
