tweet,retweetsCount,favoritesCount
"Get your 3D glasses ready! I still have some #3D pics to share with you: http://flic.kr/s/aHsjt6uwa1",25,18
"RT @Astro_Ron: Our house guests have arrived! Space Shuttle Endeavour on approach over the Rhine River #FromSpace http://twitpic.com/4zcur5",97,17
"Gargano, Italia http://flic.kr/p/9Gv8vc #earthfromspace #magISStra",51,16
"Grand Canyon, Arizona, USA http://flic.kr/p/9Gv8K2 #earthfromspace #magISStra",391,69
"Quebec, Canada http://flic.kr/p/9H1mac #earthfromspace #magISStra",15,4
"Riobamba, Ecuador http://flic.kr/p/9GfHsA #earthfromspace #magISStra",4,7
"Passed over Memphis & Mississippi River today. Our thoughts r with u http://flic.kr/p/9JvaXm http://flic.kr/p/9Jvb67 http://flic.kr/p/9Jsno6",34,5
"Vesuvio, Italia http://flic.kr/p/9JjSX3 #earthfromspace #magISStra",159,30
"Kolkata, India http://flic.kr/p/9JjSV7 #earthfromspace #magISStra",14,4
"Emi Koussi caldera, Chad / il Ciad http://flic.kr/p/9GfGY7 #earthfromspace #magISStra",15,5
"Trabzon, Turkey / Turchia http://flic.kr/p/9GcPbg #earthfromspace #magISStra",32,3
"Sei altri umani estraterrestri. Congratulazioni Endeavour per il lancio pefetto. Vi aspettiamo sulla #ISS! http://flic.kr/p/9HZdeT",37,7
"Six more extraterrestrial humans. Congrats Endeavour, picture perfect launch. Looking forward to seeing you on #ISS! http://flic.kr/p/9HZdeT",246,62
"Parco Nazionale dell'Appennino Tosco Emiliano, Italia http://flic.kr/p/9Gv8sr #earthfromspace #magISStra",19,6
"Cuenca, Ecuador http://flic.kr/p/9GcPpK #earthfromspace #magISStra",9,7
"Nice, France / Nizza, Francia http://flic.kr/p/9Gy27G #earthfromspace #magISStra",22,4
"Téboulba and Bekalta, Tunisia http://flic.kr/p/9H1mha #earthfromspace #magISStra",8,3
"Pisa, Italia http://flic.kr/p/9H1mdD #earthfromspace #magISStra",33,8
"Ponce, Puerto Rico http://flic.kr/p/9Gv8C2 #earthfromspace #magISStra",16,4
"Lake Powell, Utah, USA http://flic.kr/p/9Gy2sA #earthfromspace #magISStra",20,3
"Lake Huron, USA http://flic.kr/p/9Gy2xW #earthfromspace #magISStra",10,2
